,EEP,log10_isochrone_age_yr,initial_mass,star_mass,star_mdot,he_core_mass,c_core_mass,log_L,log_LH,log_LHe,log_Teff,log_R,log_g,surface_h1,surface_he3,surface_he4,surface_c12,surface_o16,log_center_T,log_center_Rho,center_gamma,center_h1,center_he4,center_c12,phase
22176,553,7.4,9.822913300660117,9.650750821775935,-3.759445312199214e-08,1.6298326611083342,0.0,3.995125110652079,4.176829527610081,-1.0535440958436915,3.7719293577059982,1.9763809920961573,1.4697159246575426,0.714046030441724,5.110895542940645e-05,0.27153339468722965,0.0018317624356527411,0.005940735208653941,8.0453756572043,3.3048264740687654,0.06645027185729525,3.9201660443230687e-17,0.9860534279682098,0.00010774088028962023,2.0
72532,1481,9.200000000000001,1.8526117441573042,0.5835319689973908,-1.5276382130295327e-06,0.5826058346478085,0.5375314065605769,3.7432431073380297,3.7276060205556147,-98.99999999999999,4.19285912162572,1.008580462599688,2.1870497525371513,0.699702958767416,0.00017304177404343723,0.28564423309331055,0.0011264532772218229,0.006033246077201852,7.913905131096345,6.343299988541695,7.855307546959505,1.198891951054621e-39,3.498780264232675e-18,0.304006296550963,6.0
32515,1421,7.9,5.94523463089121,1.0050250621359378,-0.001,0.9745834467851775,0.9700615222641851,4.4296180046558105,4.288818982886216,2.713860677638174,3.662804859699342,2.4118764351113344,-0.38367748072127306,0.6184502147052238,3.8062983453657845e-07,0.366959589767499,0.0001479281559016595,0.00425427660659425,8.147616921761639,7.220243026392378,8.681415370772172,7.860701429167397e-40,2.0306332314215702e-26,0.3741015016239564,4.0
71110,1569,9.150000000000002,1.9492098606635198,0.5864638055614391,-1.2366100229989342e-08,0.5860183306505018,0.5516211705694594,3.644895579520973,3.6243307294719536,-98.99999999999999,5.041305398696066,-0.7374858554495305,5.681358402500111,0.6977407925879107,9.995460976127985e-05,0.28728779026226603,0.0013105859651338502,0.006040072132387171,7.905495415171366,6.3562481739937216,8.135031813708437,1.0231433247778136e-35,4.18715334561129e-14,0.29278724355779373,6.0
58521,1134,8.75,2.815591127677548,2.637114875544844,-1.3477454976541678e-06,0.6101798260495509,0.5540830187252993,3.874696050300028,1.2270873510800393,3.4789314612737723,3.5040059963974737,2.4520131845371815,-0.04477899074390257,0.6878890266704922,0.00015695563908074418,0.29724781595322525,0.0013729915165978503,0.005589505870713346,7.945958585432557,6.369331373580381,7.339209581473985,5.278733237933732e-50,1.8558629064988118e-28,0.3319678090670217,5.0
27695,1312,7.75,6.927681346384864,3.045700218072886,-0.001,1.1052168085241896,1.0757694116880951,4.481948951258333,2.409819100521525,4.100470808346681,3.5096852397757257,2.744281148259827,-0.595843102524686,0.6077603129387632,2.1444089009313524e-05,0.37774226418252477,0.0006407893813377185,0.004372620276113624,8.292532035753617,7.196132168555878,7.270060435067066,1.4719957398279815e-34,5.878696771503934e-24,0.20944259283683397,4.0
71894,843,9.200000000000001,1.8519277593699903,1.8306801384672986,-5.3155469011206923e-08,0.5264344697120047,0.4479934779113282,3.411854703254157,0.5000217098046447,3.7902351626145885,3.5277775940071354,2.1730493157949202,0.3546522277054983,0.7003547097188132,0.00020469738962637234,0.284965829634279,0.0011728924585831194,0.006045210888183598,7.966589084606458,6.0925483242933804,5.738269288750171,1.566424651089433e-40,1.1104059169804056e-17,0.3044999150518392,5.0
33302,642,7.950000000000001,5.433851623842229,5.424215996549464,-8.127672316333083e-10,1.100354896217642,0.0,3.185803546659301,3.020141491710859,2.638063065887984,3.6355829000485773,1.84441312541461,1.4836163628348653,0.6922239271963723,5.4332867670623305e-05,0.2933057473975176,0.0010339640381797131,0.005234433965264996,8.152200451003218,3.7052856145500854,0.09966629218777709,8.807860832064143e-23,0.7107842519432233,0.2585183495347361,3.0
44559,1008,8.3,4.082372875336487,3.5368888361497244,-1.5486973950557235e-05,0.8215896375810203,0.808905897450359,4.212120977801676,3.775228993943628,3.054379346567931,3.492451263690234,2.643835113702485,-0.30119982857431477,0.6737702494914386,8.022778976114903e-05,0.31163289266172967,0.001161771092655749,0.005199176834551017,8.117666575204325,6.832033696410542,6.833633251818089,3.170895263689901e-42,1.0819185812244349e-27,0.3959242164557533,5.0
37082,1298,8.05,5.120121536573561,2.610658888500879,-0.00023120942787613428,0.906021768595817,0.89611772168933,4.406084489722613,4.373237553018901,3.380357442206454,3.488688691613217,2.7483420138169867,-0.6417918452163403,0.6393342157506814,2.780850380448999e-05,0.34613535671328205,0.0004977165970919107,0.004858602287961302,8.101476360076711,7.087280262283187,8.595913387591683,2.0130588978987735e-42,8.039115331438705e-28,0.4020954184037079,5.0
